Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,0,0,0,0,0.07299082285068836,-0.5544873301529852,,0.2766416675862441,0.43286074094635973,2,1
1,1,1,0,0,-0.13441195378345122,-0.03873154846446157,-0.21530913196576273,0.2766416675862441,0.43286074094635973,0,0
1,1,0,0,1,-0.3937473372051281,-0.5544873301529852,-0.9403280658805659,0.2766416675862441,0.43286074094635973,2,1
1,1,0,1,0,-0.4620624697931504,0.2519796016915365,-0.30885996214831796,0.2766416675862441,0.43286074094635973,2,1
1,0,0,0,0,0.09772843680942066,-0.5544873301529852,-0.06328903291911044,0.2766416675862441,0.43286074094635973,2,1
1,1,2,0,1,0.0022183113925933404,0.8805997122641535,1.410136542456135,0.2766416675862441,0.43286074094635973,2,1
1,1,0,1,0,-0.5030187842943628,-0.03599544352181688,-0.6012063064688031,0.2766416675862441,0.43286074094635973,2,1
1,1,3+,0,0,-0.38784962791695354,0.30191351689480206,0.1355064812188195,0.2766416675862441,-2.310211819657538,1,0
1,1,2,0,0,-0.22893912765224944,-0.03257531234351103,0.25244501894701354,0.2766416675862441,0.43286074094635973,2,1
1,1,1,0,0,1.2184570268205968,3.196712546212882,2.3690325518273263,0.2766416675862441,0.43286074094635973,1,0
1,1,2,0,0,-0.3609822856041582,-0.31507814767157505,-0.8935526507892884,0.2766416675862441,0.43286074094635973,2,1
1,1,2,0,2,-0.4756599662075529,0.07481680665529297,-0.4374923536493315,0.2766416675862441,0.43286074094635973,2,1
1,1,2,0,0,-0.38178809337077413,2.2178710029817448,0.6266483396772345,0.2766416675862441,0.43286074094635973,2,1
1,0,0,0,0,-0.5816549081366906,0.41682992448587897,-0.37902308478523444,0.2766416675862441,0.43286074094635973,0,0
1,1,2,0,0,-0.6724141010713773,-0.18306108418896885,-1.513326900748717,-3.4119139002303434,0.43286074094635973,2,1
1,0,0,0,0,-0.07428808409567142,-0.5544873301529852,-0.2503906932842209,0.2766416675862441,0.43286074094635973,2,1
1,0,1,1,0,-0.29610748343423776,-0.5544873301529852,-0.5427370376047062,-1.5676361163220498,,2,1
0,0,0,0,0,-0.31019645562265485,-0.5544873301529852,-0.8233895281523719,0.2766416675862441,-2.310211819657538,2,0
1,1,0,1,0,-0.08460907534997694,-0.5544873301529852,-0.1568398631016657,0.2766416675862441,0.43286074094635973,0,0
1,1,0,0,2,-0.45927744040706797,0.6425585822540657,-0.367329231012415,,0.43286074094635973,2,1
1,1,0,1,0,0.369678365097471,-0.5544873301529852,-0.4959616225134285,0.2766416675862441,-2.310211819657538,2,0
1,1,1,0,0,0.09035630019920242,1.3693364576440608,1.9714415235514664,0.2766416675862441,0.43286074094635973,2,1
1,1,0,1,0,-0.45927744040706797,0.09909973802126458,-0.3556353772395956,0.2766416675862441,-2.310211819657538,1,0
2,1,2,1,0,-0.33395111803335803,0.10115181672824809,-0.40241079233087323,0.2766416675862441,-2.310211819657538,0,0
1,1,1,0,2,-0.27628462721565095,0.44590103950147875,0.05364950480908364,0.2766416675862441,,1,0
1,1,0,0,1,0.6809463553066852,-0.5544873301529852,0.52140365572186,0.2766416675862441,0.43286074094635973,1,1
1,1,0,0,0,-0.4266762140641029,0.216068224319325,-0.28547225460267917,0.2766416675862441,0.43286074094635973,1,1
1,1,2,1,0,-0.19289757089118253,-0.19879368760917582,-0.4257984998765121,0.2766416675862441,0.43286074094635973,2,1
1,0,0,1,0,-0.6489870891766838,-0.5544873301529852,-1.3028375328379675,0.2766416675862441,0.43286074094635973,2,0
0,0,2,0,2,-0.2708783937014909,0.15792599428812537,-0.30885996214831796,0.2766416675862441,0.43286074094635973,1,1
1,1,1,0,2,-0.2027270863714735,0.5977548638182589,0.638342193450054,0.2766416675862441,,2,0
1,0,0,0,0,-0.36638851911831827,-0.5544873301529852,-0.8467772356980107,0.2766416675862441,0.43286074094635973,2,0
1,0,1,0,1,-0.11655500066092261,-0.5544873301529852,-0.47257391496778967,0.2766416675862441,0.43286074094635973,0,0
1,1,0,0,0,-0.3118347082027033,0.015648537270601597,-0.37902308478523444,0.2766416675862441,0.43286074094635973,1,1
1,0,3+,0,0,1.162592613840943,0.4715520233387727,2.0299107924155635,0.2766416675862441,0.43286074094635973,0,0
1,1,0,0,0,-0.512520649258644,0.152453784402836,,0.2766416675862441,0.43286074094635973,2,1
1,1,0,0,0,-0.5857505395868119,-0.09960988343830587,-0.5427370376047062,,-2.310211819657538,2,0
0,1,0,0,0,-0.28447589011589347,-0.055490191238160284,-0.02820747160065221,0.2766416675862441,0.43286074094635973,1,1
1,0,0,0,0,-0.2027270863714735,1.9114272494055395,0.4395466793121241,0.2766416675862441,0.43286074094635973,2,1
1,0,0,1,0,-0.2712060442175006,0.015990550388432185,-0.4257984998765121,0.2766416675862441,0.43286074094635973,1,1
1,0,0,0,0,-0.2954521824022184,-0.5544873301529852,-0.7766141130610943,0.2766416675862441,0.43286074094635973,2,0
1,0,0,0,0,-0.5903376468109477,-0.13962541822448443,-1.1625112875641348,0.2766416675862441,0.43286074094635973,2,1
1,1,0,0,0,-0.4920424920080379,-0.5544873301529852,-0.8350833819251913,0.2766416675862441,,2,1
1,1,0,0,0,-0.23958776942256466,0.24445531309926363,-0.14514600932884628,0.2766416675862441,0.43286074094635973,1,1
1,1,0,1,1,-0.11606352488690806,-0.5544873301529852,-0.5895124526959837,,0.43286074094635973,2,1
0,0,0,0,0,-0.3265789814231398,-0.5544873301529852,-0.683063282878539,,0.43286074094635973,2,1
1,1,1,0,0,0.04022577124971845,-0.5544873301529852,-1.1975928488825929,0.2766416675862441,0.43286074094635973,2,1
1,1,0,0,0,0.06840371562655258,-0.5544873301529852,-0.02820747160065221,0.2766416675862441,0.43286074094635973,2,1
0,1,0,0,0,-0.45190530379684973,0.6220377951842305,-0.30885996214831796,0.2766416675862441,-2.310211819657538,2,0
0,0,0,0,0,-0.22992207920027855,0.22359251291159787,-0.02820747160065221,0.2766416675862441,0.43286074094635973,1,1
0,1,0,1,0,-0.5693680137863268,0.00778223556049812,-0.5427370376047062,0.2766416675862441,0.43286074094635973,1,1
0,0,0,0,0,-0.3796583650167111,-0.5544873301529852,-0.30885996214831796,0.2766416675862441,0.43286074094635973,1,1
0,0,0,0,0,-0.19224226985916312,-0.5544873301529852,-0.40241079233087323,0.2766416675862441,0.43286074094635973,1,0
1,1,2,0,0,-0.1290057202692912,-0.5544873301529852,-0.14514600932884628,0.2766416675862441,0.43286074094635973,2,0
0,1,1,0,1,0.9987673558360934,-0.5544873301529852,1.6323197641397036,0.2766416675862441,-2.310211819657538,2,0
1,1,2,0,0,-0.4415843125425442,-0.1553580216446914,-0.5778185989231643,0.2766416675862441,0.43286074094635973,1,1
1,1,0,0,0,-0.5359476611533376,-0.010344459684522937,-0.5895124526959837,0.2766416675862441,0.43286074094635973,1,1
1,1,0,0,0,-0.3337872927753532,0.19794152907430393,-0.13345215555602688,0.2766416675862441,0.43286074094635973,0,0
1,1,1,0,0,0.4384849734595078,0.21504218496583322,0.39277126422084646,0.2766416675862441,0.43286074094635973,2,1
1,1,2,1,0,-0.3352617200973968,0.4233281737246601,-0.02820747160065221,0.2766416675862441,0.43286074094635973,2,1
